date,election,state,seat,dm,pm,saluran,ballot_order,candidate_uid,name_on_ballot,name,sex,ethnicity,age,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/UP Undi Pos,Undi Pos,1,1,K5KRZ,Rosmadi Bin Arif,Rosmadi bin Arif,M,Malay,52,PN,107-BERSATU,BERSATU,011-PN,PN,64,68.81720430107528
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/UP Undi Pos,Undi Pos,1,2,VVDYK,Loke Siew Fook,Loke Siew Fook (Anthony Loke),M,Chinese,46,PH,021-DAP,DAP,007-PH,PH,29,31.182795698924732
2023-08-12,SE-15,Negeri Sembilan,N.02 Pertang,126/02/00 Undi Awal,Khemah B IPD Jelebu,1,1,APZK6,Jalaluddin Bin Alias,Jalaluddin bin Alias,M,Malay,60,BN,001-UMNO,UMNO,001-BN,BN,7,58.333333333333336
2023-08-12,SE-15,Negeri Sembilan,N.02 Pertang,126/02/00 Undi Awal,Khemah B IPD Jelebu,1,2,PK9V8,Cikgu Amir,Amirudin bin Hassan (Cikgu Amir),M,Malay,64,PN,004-PAS,PAS,011-PN,PN,5,41.66666666666667
2023-08-12,SE-15,Negeri Sembilan,N.02 Pertang,126/02/01 Jerang,Balai Raya Kampung Jerang,1,1,APZK6,Jalaluddin Bin Alias,Jalaluddin bin Alias,M,Malay,60,BN,001-UMNO,UMNO,001-BN,BN,110,73.33333333333333
2023-08-12,SE-15,Negeri Sembilan,N.02 Pertang,126/02/01 Jerang,Balai Raya Kampung Jerang,1,2,PK9V8,Cikgu Amir,Amirudin bin Hassan (Cikgu Amir),M,Malay,64,PN,004-PAS,PAS,011-PN,PN,40,26.666666666666668
2023-08-12,SE-15,Negeri Sembilan,N.02 Pertang,126/02/01 Jerang,Balai Raya Kampung Jerang,2,1,APZK6,Jalaluddin Bin Alias,Jalaluddin bin Alias,M,Malay,60,BN,001-UMNO,UMNO,001-BN,BN,161,51.11111111111111
2023-08-12,SE-15,Negeri Sembilan,N.02 Pertang,126/02/01 Jerang,Balai Raya Kampung Jerang,2,2,PK9V8,Cikgu Amir,Amirudin bin Hassan (Cikgu Amir),M,Malay,64,PN,004-PAS,PAS,011-PN,PN,154,48.888888888888886
2023-08-12,SE-15,Negeri Sembilan,N.02 Pertang,126/02/02 Kampong Lakai,SK Putra,1,1,APZK6,Jalaluddin Bin Alias,Jalaluddin bin Alias,M,Malay,60,BN,001-UMNO,UMNO,001-BN,BN,283,80.85714285714286
2023-08-12,SE-15,Negeri Sembilan,N.02 Pertang,126/02/02 Kampong Lakai,SK Putra,1,2,PK9V8,Cikgu Amir,Amirudin bin Hassan (Cikgu Amir),M,Malay,64,PN,004-PAS,PAS,011-PN,PN,67,19.142857142857142
