date,election,state,seat,dm,pm,saluran,ballot_order,candidate_uid,name_on_ballot,name,sex,ethnicity,age,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/04 Sepang Loi,SK Spang Loi,2,4,5W8DG,Zahari Sarip,Zahari bin Sarip,M,Malay,55,BN,001-UMNO,UMNO,001-BN,BN,165,49.6987951807229
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/05 Mensudot Pindah,SK Mensudut Pindah,1,1,56Y9M,Subramani Chami,Subramani a/l Chami,M,Indian,55,PKR,078-PKR,PKR,007-PH,PH,4,1.694915254237288
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/05 Mensudot Pindah,SK Mensudut Pindah,1,2,8MMBX,Mohd Hanafi Bin Ahmad,Mohd Hanafi bin Ahmad,M,Malay,49,PEJUANG,119-PEJUANG,PEJUANG,000-ALONE,ALONE,1,0.423728813559322
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/05 Mensudot Pindah,SK Mensudut Pindah,1,3,C2AE6,Norazman,Norazman bin Md Diah,M,Malay,51,PN,107-BERSATU,BERSATU,011-PN,PN,35,14.83050847457627
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/05 Mensudot Pindah,SK Mensudut Pindah,1,4,5W8DG,Zahari Sarip,Zahari bin Sarip,M,Malay,55,BN,001-UMNO,UMNO,001-BN,BN,196,83.05084745762711
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/05 Mensudot Pindah,SK Mensudut Pindah,2,1,56Y9M,Subramani Chami,Subramani a/l Chami,M,Indian,55,PKR,078-PKR,PKR,007-PH,PH,0,0.0
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/05 Mensudot Pindah,SK Mensudut Pindah,2,2,8MMBX,Mohd Hanafi Bin Ahmad,Mohd Hanafi bin Ahmad,M,Malay,49,PEJUANG,119-PEJUANG,PEJUANG,000-ALONE,ALONE,2,0.9803921568627451
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/05 Mensudot Pindah,SK Mensudut Pindah,2,3,C2AE6,Norazman,Norazman bin Md Diah,M,Malay,51,PN,107-BERSATU,BERSATU,011-PN,PN,54,26.47058823529412
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/05 Mensudot Pindah,SK Mensudut Pindah,2,4,5W8DG,Zahari Sarip,Zahari bin Sarip,M,Malay,55,BN,001-UMNO,UMNO,001-BN,BN,148,72.54901960784314
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/06 Awat,SK Kampong Awat,1,1,56Y9M,Subramani Chami,Subramani a/l Chami,M,Indian,55,PKR,078-PKR,PKR,007-PH,PH,5,2.7027027027027026
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/06 Awat,SK Kampong Awat,1,2,8MMBX,Mohd Hanafi Bin Ahmad,Mohd Hanafi bin Ahmad,M,Malay,49,PEJUANG,119-PEJUANG,PEJUANG,000-ALONE,ALONE,2,1.0810810810810811
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/06 Awat,SK Kampong Awat,1,3,C2AE6,Norazman,Norazman bin Md Diah,M,Malay,51,PN,107-BERSATU,BERSATU,011-PN,PN,22,11.891891891891893
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/06 Awat,SK Kampong Awat,1,4,5W8DG,Zahari Sarip,Zahari bin Sarip,M,Malay,55,BN,001-UMNO,UMNO,001-BN,BN,156,84.32432432432432
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/06 Awat,SK Kampong Awat,2,1,56Y9M,Subramani Chami,Subramani a/l Chami,M,Indian,55,PKR,078-PKR,PKR,007-PH,PH,1,0.5813953488372093
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/06 Awat,SK Kampong Awat,2,2,8MMBX,Mohd Hanafi Bin Ahmad,Mohd Hanafi bin Ahmad,M,Malay,49,PEJUANG,119-PEJUANG,PEJUANG,000-ALONE,ALONE,7,4.069767441860465
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/06 Awat,SK Kampong Awat,2,3,C2AE6,Norazman,Norazman bin Md Diah,M,Malay,51,PN,107-BERSATU,BERSATU,011-PN,PN,47,27.325581395348834
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/06 Awat,SK Kampong Awat,2,4,5W8DG,Zahari Sarip,Zahari bin Sarip,M,Malay,55,BN,001-UMNO,UMNO,001-BN,BN,117,68.02325581395348
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/07 Pekan Gemas Bahru,SJK (C) Tah Kang,1,1,56Y9M,Subramani Chami,Subramani a/l Chami,M,Indian,55,PKR,078-PKR,PKR,007-PH,PH,100,52.910052910052904
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/07 Pekan Gemas Bahru,SJK (C) Tah Kang,1,2,8MMBX,Mohd Hanafi Bin Ahmad,Mohd Hanafi bin Ahmad,M,Malay,49,PEJUANG,119-PEJUANG,PEJUANG,000-ALONE,ALONE,7,3.7037037037037033
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/07 Pekan Gemas Bahru,SJK (C) Tah Kang,1,3,C2AE6,Norazman,Norazman bin Md Diah,M,Malay,51,PN,107-BERSATU,BERSATU,011-PN,PN,13,6.878306878306878
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/07 Pekan Gemas Bahru,SJK (C) Tah Kang,1,4,5W8DG,Zahari Sarip,Zahari bin Sarip,M,Malay,55,BN,001-UMNO,UMNO,001-BN,BN,69,36.507936507936506
